"Geographic code","Geographic name","Geographic type","Geographic name, Province or territory","Geographic code, Province or territory","Additional province code","Global non-response rate","Data quality flag","Household type","Number of households, 2006","Number of households, 2016","Median household total income (2015 constant dollars), 2005","Median household total income (2015 constant dollars), 2015","Median household total income (2015 constant dollars), % change","Median household after-tax income (2015 constant dollars), 2005","Median household after-tax income (2015 constant dollars), 2015","Median household after-tax income (2015 constant dollars), % change"
"105","Charlottetown","CA","Prince Edward Island","11","",4.2,"00000","  Non-census-family households",7400,9710,30578,34621,13.2,27223,30679,12.7
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","Total – Household type including census family structure",6580,7215,50107,53291,6.4,44868,47341,5.5
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","  Census-family households",4725,4780,62696,70290,12.1,54277,61594,13.5
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","    Households consisting of only one census family without additional persons",4360,4500,61136,68593,12.2,53337,60227,12.9
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","      One couple, with or without children in their census family",3510,3720,67040,75947,13.3,58018,65809,13.4
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","        One couple, without children in their census family",1840,2150,59612,64442,8.1,51862,57024,10.0
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","        One couple, with children in their census family",1670,1570,78505,93850,19.5,69641,79732,14.5
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","      One lone-parent census family",850,775,39412,41792,6.0,36782,39324,6.9
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","    Other census-family households",365,280,82557,89344,8.2,72909,79328,8.8
"110","Summerside","CA","Prince Edward Island","11","",3.9,"00000","  Non-census-family households",1855,2440,26608,28307,6.4,24153,25832,7.0
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","Total – Household type including census family structure",5925,5860,44980,49088,9.1,41581,45085,8.4
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","  Census-family households",4130,3785,57497,67462,17.3,51439,60626,17.9
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","    Households consisting of only one census family without additional persons",3850,3495,56251,66304,17.9,49927,59207,18.6
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","      One couple, with or without children in their census family",3135,2925,64925,72842,12.2,56774,64240,13.2
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","        One couple, without children in their census family",1490,1745,50439,61781,22.5,44797,55296,23.4
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","        One couple, with children in their census family",1645,1180,75033,93269,24.3,65860,81229,23.3
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","      One lone-parent census family",720,565,28284,38528,36.2,28284,37461,32.4
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","    Other census-family households",280,290,75013,80640,7.5,69135,75435,9.1
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24",4.8,"00000","  Non-census-family households",1790,2075,24770,25520,3.0,23103,24064,4.2
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","Total – Household type including census family structure",155125,173460,64004,69522,8.6,54301,59240,9.1
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","  Census-family households",103255,111290,82633,91252,10.4,69170,76537,10.7
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","    Households consisting of only one census family without additional persons",95405,102545,81688,89973,10.1,68101,75266,10.5
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","      One couple, with or without children in their census family",81750,87645,88746,97555,9.9,73558,80976,10.1
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","        One couple, without children in their census family",39395,46745,75468,83943,11.2,62968,70587,12.1
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","        One couple, with children in their census family",42355,40900,102056,116023,13.7,83661,95284,13.9
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","      One lone-parent census family",13650,14900,42014,50112,19.3,38723,45573,17.7
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","    Other census-family households",7850,8750,93723,105632,12.7,82533,92188,11.7
"205","Halifax","CMA","Nova Scotia","12","",3.7,"00000","  Non-census-family households",51875,62170,35553,39229,10.3,31117,34243,10.0
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","Total – Household type including census family structure",10665,11370,51355,55750,8.6,44743,49619,10.9
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","  Census-family households",7625,7790,61302,70620,15.2,53717,61700,14.9
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","    Households consisting of only one census family without additional persons",7065,7240,60656,69608,14.8,52620,60796,15.5
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","      One couple, with or without children in their census family",6055,6095,65042,75413,15.9,55871,65000,16.3
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","        One couple, without children in their census family",3125,3560,57111,64288,12.6,50204,56728,13.0
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","        One couple, with children in their census family",2935,2535,74087,94613,27.7,63854,80235,25.7
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","      One lone-parent census family",1005,1145,32624,40363,23.7,31645,38187,20.7
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","    Other census-family households",560,555,80682,82517,2.3,72995,74432,2.0
"210","Kentville","CA","Nova Scotia","12","",3.3,"00000","  Non-census-family households",3045,3575,26372,30272,14.8,23581,27371,16.1
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","Total – Household type including census family structure",18780,20095,51087,55521,8.7,45529,49179,8.0
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","  Census-family households",13175,13360,63053,72221,14.5,55540,62938,13.3
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","    Households consisting of only one census family without additional persons",12325,12495,62943,70934,12.7,55017,61886,12.5
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","      One couple, with or without children in their census family",10670,10610,68730,77040,12.1,58768,66649,13.4
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","        One couple, without children in their census family",5430,6205,57004,65858,15.5,50691,57681,13.8
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","        One couple, with children in their census family",5240,4405,79527,96620,21.5,66840,81930,22.6
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","      One lone-parent census family",1660,1880,35298,41801,18.4,33363,39005,16.9
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","    Other census-family households",850,870,66575,86382,29.8,61515,76416,24.2
"215","Truro","CA","Nova Scotia","12","",3.8,"00000","  Non-census-family households",5605,6735,27802,29444,5.9,24737,26862,8.6
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","Total – Household type including census family structure",15055,15130,50131,55748,11.2,44463,49222,10.7
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","  Census-family households",10525,10020,63397,73062,15.2,55270,63762,15.4
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","    Households consisting of only one census family without additional persons",9690,9355,62817,71714,14.2,54295,62464,15.0
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","      One couple, with or without children in their census family",8185,7725,68100,79861,17.3,58383,68411,17.2
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","        One couple, without children in their census family",4175,4435,58828,68023,15.6,50420,59290,17.6
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","        One couple, with children in their census family",4015,3290,78396,98048,25.1,66284,82931,25.1
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","      One lone-parent census family",1505,1630,34988,41547,18.7,34506,39067,13.2
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","    Other census-family households",830,665,69606,89216,28.2,63222,80064,26.6
"220","New Glasgow","CA","Nova Scotia","12","",4.0,"00000","  Non-census-family households",4535,5115,23775,29323,23.3,22389,26804,19.7
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","Total – Household type including census family structure",43090,43080,47876,52914,10.5,43222,47624,10.2
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","  Census-family households",30300,28215,61087,71467,17.0,54329,63008,16.0
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","    Households consisting of only one census family without additional persons",27570,25605,59580,69484,16.6,52808,61391,16.3
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","      One couple, with or without children in their census family",21355,19745,67073,80014,19.3,58556,69094,18.0
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","        One couple, without children in their census family",10240,11170,57963,66756,15.2,50420,58862,16.7
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","        One couple, with children in their census family",11120,8575,78486,101491,29.3,67481,85968,27.4
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","      One lone-parent census family",6215,5855,30870,41706,35.1,30003,39593,32.0
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","    Other census-family households",2735,2610,77754,90112,15.9,70653,81455,15.3
"225","Cape Breton","CA","Nova Scotia","12","",3.9,"00000","  Non-census-family households",12785,14865,23542,26928,14.4,22015,25195,14.4
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","Total – Household type including census family structure",1245,1230,37663,34304,-8.9,34938,33408,-4.4
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","  Census-family households",835,695,48288,50688,5.0,45909,48512,5.7
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","    Households consisting of only one census family without additional persons",735,645,47849,49408,3.3,45697,47488,3.9
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","      One couple, with or without children in their census family",525,435,51557,64832,25.7,49106,57536,17.2
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","        One couple, without children in their census family",245,235,41932,48256,15.1,41932,45952,9.6
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","        One couple, with children in their census family",280,195,58284,77909,33.7,53531,73370,37.1
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","      One lone-parent census family",210,210,33813,35456,4.9,33813,35456,4.9
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","    Other census-family households",100,50,58779,66048,12.4,56337,65792,16.8
"24330","Campbellton (Quebec part)","CA","New Brunswick","13","13",13.9,"01000","  Non-census-family households",410,535,16568,19883,20.0,16568,19840,19.7
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","Total – Household type including census family structure",605,790,43824,44971,2.6,39779,41301,3.8
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","  Census-family households",425,495,53340,59200,11.0,48729,53408,9.6
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","    Households consisting of only one census family without additional persons",415,470,53286,57856,8.6,48677,52821,8.5
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","      One couple, with or without children in their census family",335,365,59363,66867,12.6,53269,57728,8.4
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","        One couple, without children in their census family",185,210,46188,53504,15.8,42347,47616,12.4
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","        One couple, with children in their census family",145,150,66115,79104,19.6,58342,68352,17.2
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","      One lone-parent census family",80,100,30148,38912,29.1,30148,36736,21.9
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","    Other census-family households",15,25,0,85760,,0,77568,
"24502","Hawkesbury (Quebec part)","CA","Ontario","35","35",2.9,"00000","  Non-census-family households",180,295,22827,25280,10.7,22059,24341,10.3
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","Total – Household type including census family structure",118635,140105,68571,70857,3.3,57804,59790,3.4
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","  Census-family households",82655,92055,85652,92828,8.4,71700,77240,7.7
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","    Households consisting of only one census family without additional persons",77615,86150,85073,91985,8.1,70956,76270,7.5
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","      One couple, with or without children in their census family",64645,70755,92941,101182,8.9,77381,83093,7.4
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","        One couple, without children in their census family",28905,34020,77241,83803,8.5,64807,69354,7.0
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","        One couple, with children in their census family",35740,36735,107344,120313,12.1,89417,98466,10.1
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","      One lone-parent census family",12970,15395,54446,59405,9.1,48717,51669,6.1
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","    Other census-family households",5045,5910,96700,103878,7.4,84351,91008,7.9
"24505","Ottawa - Gatineau (Quebec part)","CMA","Ontario","35","35",3.3,"00000","  Non-census-family households",35985,48045,38171,39873,4.5,32531,34633,6.5
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","Total – Household type including census family structure",51910,61770,59549,62871,5.6,51647,55165,6.8
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","  Census-family households",36680,41205,73868,80407,8.9,62721,69624,11.0
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","    Households consisting of only one census family without additional persons",33865,38325,72698,79248,9.0,61853,68333,10.5
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","      One couple, with or without children in their census family",29190,32970,78410,85539,9.1,66104,73165,10.7
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","        One couple, without children in their census family",14660,18055,65847,73162,11.1,56267,63608,13.0
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","        One couple, with children in their census family",14525,14910,91197,104377,14.5,76705,88103,14.9
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","      One lone-parent census family",4680,5355,38655,44121,14.1,36408,41354,13.6
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","    Other census-family households",2815,2875,85244,96838,13.6,76668,85809,11.9
"305","Moncton","CMA","New Brunswick","13","",3.9,"00000","  Non-census-family households",15230,20565,31713,35642,12.4,28403,31739,11.7
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","Total – Household type including census family structure",49565,52875,58038,63737,9.8,50341,55847,10.9
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","  Census-family households",35255,36125,72301,82988,14.8,61339,71423,16.4
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","    Households consisting of only one census family without additional persons",32630,33445,70859,81625,15.2,60416,70121,16.1
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","      One couple, with or without children in their census family",27280,28140,78880,90477,14.7,66892,76647,14.6
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","        One couple, without children in their census family",12970,14880,64453,75195,16.7,55383,65338,18.0
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","        One couple, with children in their census family",14310,13265,95489,111569,16.8,78673,92787,17.9
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","      One lone-parent census family",5345,5310,35962,42078,17.0,34602,39756,14.9
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","    Other census-family households",2630,2680,84453,99186,17.4,76243,88594,16.2
"310","Saint John","CMA","New Brunswick","13","",3.6,"00000","  Non-census-family households",14310,16745,30714,33690,9.7,27987,30383,8.6
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","Total – Household type including census family structure",36695,42775,61901,66877,8.0,53552,58221,8.7
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","  Census-family households",25715,29230,75473,84630,12.1,64491,72983,13.2
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","    Households consisting of only one census family without additional persons",23965,27395,74793,83905,12.2,63462,72129,13.7
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","      One couple, with or without children in their census family",21075,23815,80804,90432,11.9,68204,77158,13.1
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","        One couple, without children in their census family",10235,12655,69385,79199,14.1,59247,68375,15.4
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","        One couple, with children in their census family",10840,11160,91659,105875,15.5,76719,89003,16.0
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","      One lone-parent census family",2890,3575,39118,44879,14.7,36635,42201,15.2
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","    Other census-family households",1740,1830,84576,96670,14.3,75333,86670,15.0
"320","Fredericton","CA","New Brunswick","13","",3.5,"00000","  Non-census-family households",10985,13545,35010,37643,7.5,30935,33485,8.2
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","Total – Household type including census family structure",13400,13970,51324,53660,4.6,45643,48250,5.7
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","  Census-family households",9870,9465,63957,70979,11.0,56056,62284,11.1
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","    Households consisting of only one census family without additional persons",9210,8875,62942,68988,9.6,54803,60807,11.0
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","      One couple, with or without children in their census family",8050,7850,68306,73041,6.9,58842,63890,8.6
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","        One couple, without children in their census family",4325,4905,54479,61613,13.1,47824,54852,14.7
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","        One couple, with children in their census family",3725,2945,85044,99051,16.5,71215,84206,18.2
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","      One lone-parent census family",1160,1025,36156,40640,12.4,33787,38758,14.7
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","    Other census-family households",665,595,76398,95744,25.3,67492,85299,26.4
"328","Bathurst","CA","New Brunswick","13","",4.3,"00000","  Non-census-family households",3530,4500,24513,25511,4.1,23041,24165,4.9
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","Total – Household type including census family structure",11505,11940,50691,57930,14.3,45559,51852,13.8
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","  Census-family households",8555,8250,61053,74069,21.3,53663,65516,22.1
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","    Households consisting of only one census family without additional persons",7965,7655,59723,72967,22.2,52566,64303,22.3
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","      One couple, with or without children in their census family",6705,6425,65058,79515,22.2,56051,69471,23.9
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","        One couple, without children in their census family",3195,3695,52207,66873,28.1,46971,58958,25.5
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","        One couple, with children in their census family",3510,2730,77639,101995,31.4,67163,86949,29.5
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","      One lone-parent census family",1260,1230,34092,42240,23.9,33081,40000,20.9
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","    Other census-family households",590,595,82362,87424,6.1,76075,79872,5.0
"329","Miramichi","CA","New Brunswick","13","",3.8,"00000","  Non-census-family households",2950,3690,25567,29030,13.5,23611,26805,13.5
"330","Campbellton","CA","New Brunswick","13","24",6.3,"00000","Total – Household type including census family structure",7165,7090,43919,46416,5.7,40330,43096,6.9
"330","Campbellton","CA","New Brunswick","13","24",6.3,"00000","  Census-family households",4965,4480,56251,65106,15.7,50430,58888,16.8
